"SEEDDIV2819","SEEDDIV2891","SEEDDIV2899","SEEDDIV2907","SEEDDIV2827","SEEDDIV2835","SEEDDIV2843","SEEDDIV2851","SEEDDIV2859","SEEDDIV2867","SEEDDIV2875","SEEDDIV2883","SEEDDIV2820","SEEDDIV2900","SEEDDIV2908","SEEDDIV2828","SEEDDIV2836","SEEDDIV2844","SEEDDIV2852","SEEDDIV2860","SEEDDIV2868","SEEDDIV2876","SEEDDIV2884","SEEDDIV2893","SEEDDIV2901","SEEDDIV2909","SEEDDIV2829","SEEDDIV2845","SEEDDIV2853","SEEDDIV2861","SEEDDIV2869","SEEDDIV2877","SEEDDIV2885","SEEDDIV2822","SEEDDIV2894","SEEDDIV2902","SEEDDIV2910","SEEDDIV2830","SEEDDIV2846","SEEDDIV2854","SEEDDIV2862","SEEDDIV2878","SEEDDIV2823","SEEDDIV2895","SEEDDIV2911","SEEDDIV2831","SEEDDIV2839","SEEDDIV2847","SEEDDIV2855","SEEDDIV2863","SEEDDIV2879","SEEDDIV2824","SEEDDIV2896","SEEDDIV2904","SEEDDIV2912","SEEDDIV2840","SEEDDIV2848","SEEDDIV2856","SEEDDIV2864","SEEDDIV2872","SEEDDIV2880","SEEDDIV2888","SEEDDIV2825","SEEDDIV2897","SEEDDIV2905","SEEDDIV2841","SEEDDIV2849","SEEDDIV2857","SEEDDIV2865","SEEDDIV2873","SEEDDIV2889","SEEDDIV2826","SEEDDIV2898","SEEDDIV2834","SEEDDIV2842","SEEDDIV2850","SEEDDIV2858","SEEDDIV2866","SEEDDIV2874","SEEDDIV2882","SEEDDIV2890","SEEDDIV2913","SEEDDIV2985","SEEDDIV2993","SEEDDIV2921","SEEDDIV2929","SEEDDIV2945","SEEDDIV2953","SEEDDIV2961","SEEDDIV2969","SEEDDIV2977","SEEDDIV2914","SEEDDIV2986","SEEDDIV2994","SEEDDIV3002","SEEDDIV2922","SEEDDIV2930","SEEDDIV2938","SEEDDIV2946","SEEDDIV2954"
0,1,0.5,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0.2,0.5,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0.5,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0.5,1,1,0.722222222222222
1,0,0.5,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0.8,0.5,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0.5,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0.5,0,0,0.277777777777778
1,0.5,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0.5,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0.5,0,0.5,0,1,1,0.5,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
0,0.5,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0.5,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0.5,1,0.5,1,0,0,0.5,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1
0.6,1,0,1,0,0,1,1,1,0,1,1,0,0,0.857142857142857,0,1,1,1,1,0,1,1,0,0.5,0.666666666666667,1,1,0,1,0,1,0.4,0.4,0,1,1,1,0,1,1,0,1,0,0.444444444444444,1,0,0,0.5,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0.785714285714286,1,0,0,1,1,0.444444444444444,1,0,0,1,0,1,1,1,1,0,0.5,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0.5,1,1,0
0.4,0,1,0,1,1,0,0,0,1,0,0,1,1,0.142857142857143,1,0,0,0,0,1,0,0,1,0.5,0.333333333333333,0,0,1,0,1,0,0.6,0.6,1,0,0,0,1,0,0,1,0,1,0.555555555555556,0,1,1,0.5,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0.214285714285714,0,1,1,0,0,0.555555555555556,0,1,1,0,1,0,0,0,0,1,0.5,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0.5,0,0,1
0,0,0,0,0,0,0,0.5,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0.5,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.1,0,1,0.5,0,0,0,0.5,1,0,0,0.5,1,1,0.5,0.05,1,0
1,1,1,1,1,1,1,0.5,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0.5,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.5,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0.5,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0.9,1,0,0.5,1,1,1,0.5,0,1,1,0.5,0,0,0.5,0.95,0,1
0,0,1,1,0.7,1,1,1,1,1,1,1,1,1,1,1,0.5,0.9,0,1,0.5,1,1,1,0.5,1,1,1,0,1,1,1,0,1,0,1,0.777777777777778,0,1,1,1,0,1,0,1,1,0,1,0.5,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0.5,0,1,1,0,1,0.5,1,0,1,1,0,1,0.5,0,0,1,1,1,1,0
1,1,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,1,0,0.5,0,0,0,0.5,0,0,0,1,0,0,0,1,0,1,0,0.222222222222222,1,0,0,0,1,0,1,0,0,1,0,0.5,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0.5,1,0,0,1,0,0.5,0,1,0,0,1,0,0.5,1,1,0,0,0,0,1
